arm,ramp,n_windows,n,mean_pc1,range_med,range_p95
discretised (PRIMARY),0.0,6,60,0.4553320191706885,0.059695931138379316,0.09857640633063386
discretised (PRIMARY),0.0,6,60,0.4555301580798019,0.0646456590201979,0.10115393315032123
discretised (PRIMARY),0.15,6,60,0.3861679789491832,0.11309183742975115,0.16002592852137565
discretised (PRIMARY),0.3,6,60,0.33190865477097,0.19623849030170998,0.23561306542803961
discretised (PRIMARY),0.45,6,60,0.28754792547440405,0.23892047319455423,0.28349284597397545
discretised (PRIMARY),0.6,6,60,0.2508506905229731,0.27693540126632415,0.3018900172898355
discretised (PRIMARY),0.0,12,60,0.4556202204191555,0.1036729655604863,0.15891318208846333
discretised (PRIMARY),0.0,12,60,0.45487914982783395,0.1090306251350647,0.14965709788291112
discretised (PRIMARY),0.15,12,60,0.39029718876274955,0.1657892770610785,0.21664376666814417
discretised (PRIMARY),0.3,12,60,0.33483208667238135,0.2207513087351619,0.28220366897543364
discretised (PRIMARY),0.45,12,60,0.2891455607264714,0.2648764193662224,0.3288011941775522
discretised (PRIMARY),0.6,12,60,0.25575446489882875,0.28765692399661513,0.32958457235140587
continuous,0.0,6,60,0.6023252032288543,0.05791943136408595,0.09979789318972973
continuous,0.0,6,60,0.6055206362458094,0.059310223119118266,0.09507345515114797
continuous,0.15,6,60,0.5107657280960016,0.1626186381332413,0.20753292594890202
continuous,0.3,6,60,0.4284938023016235,0.2684510176412686,0.3125410325963397
continuous,0.45,6,60,0.36483767131092065,0.34738373609870743,0.392157310154093
continuous,0.6,6,60,0.3140060308625288,0.4019237024046702,0.4290866451323267
continuous,0.0,12,60,0.6032447112852777,0.10876785106112175,0.14766699712155176
continuous,0.0,12,60,0.6034278818491521,0.1087530444186946,0.15455034372745985
continuous,0.15,12,60,0.5120450639017288,0.20254456170808444,0.25695960178840366
continuous,0.3,12,60,0.43097287982293725,0.3063063679739525,0.35127177339419596
continuous,0.45,12,60,0.3636044652195013,0.3933871778387889,0.44305752246996477
continuous,0.6,12,60,0.3141379309859644,0.4184585394388186,0.4801171881812757
