leg,decision,missing,families,n_families,s3_applied,source,id,doi,year,journal,title,abstract
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W4390778977,10.31234/osf.io/b68wh,2024,,Understanding Types of Transitions in Clinical Change: An Introduction from the Complex Dynamic Systems Perspective,"Sudden changes are common in clinical trajectories, yet a theoretical framework to understand the underlying mechanisms is still lacking. In this article, we aim to bridge this gap by introducing the mechanisms and features of four distinct types of transitions drawn from complex dynamic system research: bifurcation-induced tipping (B-tipping), noise-induced tipping (N-tipping), rate-induced tipping (R-tipping), and noise-induced diffusion (N-diffusion). Those types of transitions differ in the main cause of the change and data characteristics. To illustrate their application to clinical phenomena, we present two real-life scenarios using simulated time series. These examples demonstrate how theoretical types of change may connect to clinical phenomena and highlight how different types of transitions can co-occur in various subsystems. In the first example, we show that the mood system and the momentary affect system of a patient with sudden loss may show B-tipping and N-diffusion at the same time; in the second example, we show that increasing the stimulus strengthening speed in exposure therapy may lead to R-tipping, while the therapeutic decision in this context may be caused by N-tipping. Finally, we lay out possible pathways for determining the appropriate type of transition for future empirical research, highlighting methods both from dynamic system research and special opportunities for research in clinical psychology."
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W4407772418,10.31234/osf.io/b68wh_v1,2024,,Understanding Types of Transitions in Clinical Change: An Introduction from the Complex Dynamic Systems Perspective,"Sudden changes are common in clinical trajectories, yet a theoretical framework to understand the underlying mechanisms is still lacking. In this article, we aim to bridge this gap by introducing the mechanisms and features of four distinct types of transitions drawn from complex dynamic system research: bifurcation-induced tipping (B-tipping), noise-induced tipping (N-tipping), rate-induced tipping (R-tipping), and noise-induced diffusion (N-diffusion). Those types of transitions differ in the main cause of the change and data characteristics. To illustrate their application to clinical phenomena, we present two real-life scenarios using simulated time series. These examples demonstrate how theoretical types of change may connect to clinical phenomena and highlight how different types of transitions can co-occur in various subsystems. In the first example, we show that the mood system and the momentary affect system of a patient with sudden loss may show B-tipping and N-diffusion at the same time; in the second example, we show that increasing the stimulus strengthening speed in exposure therapy may lead to R-tipping, while the therapeutic decision in this context may be caused by N-tipping. Finally, we lay out possible pathways for determining the appropriate type of transition for future empirical research, highlighting methods both from dynamic system research and special opportunities for research in clinical psychology."
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W4408691707,10.1037/abn0000991,2025,Journal of Psychopathology and Clinical Science,Understanding types of transitions in clinical change: An introduction from the complex dynamic systems perspective.,"Sudden changes are common in clinical trajectories. While theoretical work in complex dynamic systems has provided mathematical theories for various types and mechanisms of change, a concrete application for the field of psychopathology is still lacking. We aim to bridge this gap by outlining an applied theoretical framework using theoretical concepts of the natural sciences for the field of clinical psychopathology, also devoting attention to issues and providing recommendations that are specific to the psychopathology domain. First, the mechanisms and features of four distinct types of transitions are introduced: bifurcation-induced tipping (B-tipping), noise-induced tipping (N-tipping), rate-induced tipping (R-tipping), and noise-induced diffusion (N-diffusion). Those types of transitions differ in the main cause of the change and data characteristics. To illustrate their application to clinical phenomena, we present two real-life scenarios using simulated time series. These examples demonstrate how theoretical types of change may connect to clinical phenomena and highlight how different types of transitions can co-occur in various subsystems. In the first example, we show that the mood system and the momentary affect system of a patient with sudden loss may show B-tipping and N-diffusion at the same time; in the second example, we show that increasing the stimulus strengthening speed in exposure therapy may lead to R-tipping, while the therapeutic decision in this context may be caused by N-tipping. Finally, we lay out possible pathways for determining the appropriate type of transition for future empirical research, highlighting methods both from dynamic system research and special opportunities for research in clinical psychology. (PsycInfo Database Record (c) 2025 APA, all rights reserved)."
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W4407760656,10.31234/osf.io/b68wh_v2,2025,,Understanding Types of Transitions in Clinical Change: An Introduction from the Complex Dynamic Systems Perspective,"Sudden changes are common in clinical trajectories, yet a theoretical framework to understand the underlying mechanisms is still lacking. In this article, we aim to bridge this gap by introducing the mechanisms and features of four distinct types of transitions drawn from complex dynamic system research: bifurcation-induced tipping (B-tipping), noise-induced tipping (N-tipping), rate-induced tipping (R-tipping), and noise-induced diffusion (N-diffusion). Those types of transitions differ in the main cause of the change and data characteristics. To illustrate their application to clinical phenomena, we present two real-life scenarios using simulated time series. These examples demonstrate how theoretical types of change may connect to clinical phenomena and highlight how different types of transitions can co-occur in various subsystems. In the first example, we show that the mood system and the momentary affect system of a patient with sudden loss may show B-tipping and N-diffusion at the same time; in the second example, we show that increasing the stimulus strengthening speed in exposure therapy may lead to R-tipping, while the therapeutic decision in this context may be caused by N-tipping. Finally, we lay out possible pathways for determining the appropriate type of transition for future empirical research, highlighting methods both from dynamic system research and special opportunities for research in clinical psychology."
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W4414341008,10.1037/abn0001061,2025,Journal of Psychopathology and Clinical Science,Correction to “Understanding types of transitions in clinical change: An introduction from the complex dynamic systems perspective” by Cui et al. (2025).,", 2025[May], Vol 134[4], 469-482; see record 2025-93753-001). In the article, in Figure 8 the final steps in the decision tree were inadvertently reversed: A ""Yes"" response should lead to B-tipping, and a ""No"" response should lead to R-tipping. The corrected figure is present in the erratum. (The following abstract of the original article appeared in record 2025-93753-001). Sudden changes are common in clinical trajectories. While theoretical work in complex dynamic systems has provided mathematical theories for various types and mechanisms of change, a concrete application for the field of psychopathology is still lacking. We aim to bridge this gap by outlining an applied theoretical framework using theoretical concepts of the natural sciences for the field of clinical psychopathology, also devoting attention to issues and providing recommendations that are specific to the psychopathology domain. First, the mechanisms and features of four distinct types of transitions are introduced: bifurcation-induced tipping (B-tipping), noise-induced tipping (N-tipping), rate-induced tipping (R-tipping), and noise-induced diffusion (N-diffusion). Those types of transitions differ in the main cause of the change and data characteristics. To illustrate their application to clinical phenomena, we present two real-life scenarios using simulated time series. These examples demonstrate how theoretical types of change may connect to clinical phenomena and highlight how different types of transitions can co-occur in various subsystems. In the first example, we show that the mood system and the momentary affect system of a patient with sudden loss may show B-tipping and N-diffusion at the same time; in the second example, we show that increasing the stimulus strengthening speed in exposure therapy may lead to R-tipping, while the therapeutic decision in this context may be caused by N-tipping. Finally, we lay out possible pathways for determining the appropriate type of transition for future empirical research, highlighting methods both from dynamic system research and special opportunities for research in clinical psychology. (PsycInfo Database Record (c) 2025 APA, all rights reserved)."
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W7135047270,10.20944/preprints202603.0897.v1,2026,Preprints.org,Early Warning Signals in Ecological Time-Series,"Ecosystems can undergo abrupt, often irreversible transitions between alternative states —phenomena termed critical transitions or regime shifts— with profound consequences for biodiversity, ecosystem services, and human well-being. Early warning signals (EWS) derived from time series analysis offer the prospect of anticipating such transitions before they occur, potentially enabling preventive management intervention. This review provides a comprehensive synthesis of EWS methods for ecological systems, encompassing theoretical foundations, statistical indicators, empirical applications, and emerging methodological frontiers. We examine the dynamical basis of EWS in critical slowing down theory, wherein systems approaching bifurcation points exhibit characteristic statistical signatures including rising autocorrelation, increasing variance, and spectral reddening. We present a systematic overview of proposed indicators (Table 1), discuss moving-window frameworks for their computation, and critically evaluate preprocessing requirements and sensitivity to analytical choices. Empirical applications across major ecosystem types---including lakes, coral reefs, grasslands, forests, and marine fisheries---reveal both successes and limitations, with EWS performance depending critically on data quality, transition mechanism, and system-specific dynamics (Table 2). We address recent advances including machine learning approaches, non-equilibrium thermodynamic indicators, multivariate extensions, and the important distinction between bifurcation-induced, noise-induced, and rate-induced tipping. We conclude with recommendations for specialists, emphasizing the integration of EWS within broader monitoring frameworks, systematic sensitivity analysis, and the interpretation of indicators as probabilistic assessments of changing resilience rather than deterministic predictions of imminent collapse."
P1_psych,READ,,bifurcation;noise;rate,3,True,openalex,W7163322636,10.3390/e28060628,2026,Entropy,Early Warning Signals in Ecological Time-Series,"Ecosystems can undergo abrupt, often irreversible transitions between alternative states-phenomena termed critical transitions or regime shifts-with profound consequences for biodiversity, ecosystem services, and human well-being. Early warning signals (EWSs) derived from time-series analysis offer the prospect of anticipating such transitions before they occur, potentially enabling preventive management intervention. This review provides a comprehensive synthesis of EWS methods for ecological systems, encompassing theoretical foundations, statistical indicators, empirical applications, and emerging methodological frontiers. We examine the dynamical basis of EWS in critical slowing down theory, wherein systems approaching bifurcation points exhibit characteristic statistical signatures including rising autocorrelation, increasing variance, and spectral reddening. We present a systematic overview of proposed indicators discuss moving-window frameworks for their computation, and critically evaluate preprocessing requirements and sensitivity to analytical choices. Empirical applications across major ecosystem types-including lakes, coral reefs, grasslands, forests, and marine fisheries-reveal both successes and limitations, with EWS performance depending critically on data quality, transition mechanism, and system-specific dynamics. We address recent advances including machine learning approaches, non-equilibrium thermodynamic indicators, multivariate extensions, and the important distinction between bifurcation-induced, noise-induced, and rate-induced tipping. We conclude with recommendations for specialists, emphasizing the integration of EWS within broader monitoring frameworks, systematic sensitivity analysis, and the interpretation of indicators as probabilistic assessments of changing resilience rather than deterministic predictions of imminent collapse."
P1_psych,READ,,bifurcation;rate,2,False,openalex,W3097917829,10.5194/egusphere-egu2020-9929,2020,,Conditions for the Compost Bomb Instability,"&amp;lt;p&amp;gt;Under global warming, soil temperatures are expected to rise. This increases the specific rate of microbial respiration in the soils which in turn warms the soil, creating a positive feedback process. This leads to the possibility of an instability, known as the compost bomb, in which rapidly warming soils release their soil carbon as CO2 to the atmosphere, accelerating global warming. Models of the compost bomb have exhibited interesting dynamical phenomena: excitability, rate induced tipping and bifurcation induced tipping. We examine models with increasing degrees of sophistication, to help understand the conditions that give rise to the compost bomb. We clarify the role an insulating moss layer plays and demonstrate that it has a 'most dangerous' thickness. We also use JULES, a land surface model, to examine where a compost bomb might occur and what affect other processes such as hydrology might have on the compost bomb.&amp;lt;/p&amp;gt;"
P1_psych,READ,,bifurcation;noise,2,False,openalex,W4200451001,10.1088/2632-072x/ac4004,2021,Journal of Physics Complexity,Poisson-distributed noise induces cortical γ-activity: explanation of γ-enhancement by anaesthetics ketamine and propofol,"Abstract Additive noise is known to affect the stability of nonlinear systems. To understand better the role of additive noise in neural systems, we investigate the impact of additive noise on a random neural network of excitatory and inhibitory neurons. Here we hypothesize that the noise originates from the ascending reticular activating system. Coherence resonance in the γ -frequency range emerges for intermediate noise levels while the network exhibits non-coherent activity at low and high noise levels. The analytical study of a corresponding mean-field model system explains the resonance effect by a noise-induced phase transition via a saddle-node bifurcation. An analytical study of the linear mean-field systems response to additive noise reveals that the coherent state exhibits a quasi-cycle in the γ -frequency range whose spectral properties are tuned by the additive noise. To illustrate the importance of the work, we show that the quasi-cycle explains γ -enhancement under impact of the anaesthetics ketamine and propofol as a destabilizing effect of the coherent state."
P1_psych,READ,,bifurcation;noise,2,False,openalex,W3199991633,10.1063/5.0056784,2021,Chaos An Interdisciplinary Journal of Nonlinear Science,Bifurcation of singularities of fluctuational paths for a noise-driven overdamped two-well system,"Noise-induced escape in a 2D generalized Maier-Stein model with two parameters μ and α is investigated in the weak noise limit. With the WKB approximation, the patterns of extreme paths and singularities are displayed. By employing the Freidlin-Wentzell action functional and the asymptotic series, critical parameters α inducing singularity bifurcation are determined analytically for μ=1. The switching line will appear with singularities and is equivalent to the sliding set in the Filippov system. The pseudo-saddle-node bifurcation on the switching line is found. Then, when -1<μ<1, it is found that all bifurcation values α will decrease as μ decreases and the second-order bifurcation values are bigger than all first-order ones. In addition, the variation of the switching line is also analyzed and a new switching line will emerge when the location of the minimum quasi-potential on the boundary changes. At last, when the noise is anisotropic, only the noise intensity ratio will affect the bifurcation value α."
P1_psych,READ,,bifurcation;rate,2,False,openalex,W7111320617,10.5194/egusphere-2025-5859,2025,,Rate-induced tipping of ice sheets due to visco-elastic Earth response under idealized conditions,"Abstract. The future evolution of the West Antarctic Ice Sheet may be characterized by self-reinforcing and irreversible retreat due to the unfolding of a marine ice sheet instability (MISI). How the stabilizing mechanism of glacial isostatic adjustment (GIA) does influence the timing and spatial extent of West Antarctica's present and potential future destabilization is highly uncertain and thus increasingly subject of numerical modeling studies that are based on observational data, striving for a most realistic representation of the Antarctic Ice Sheet. Here we employ an ensemble of idealized simulations in a synthetic model setup to systematically investigate how the interaction between ice-sheet dynamics and the visco-elastic response of the solid Earth affect the tipping dynamics of an inherently buttressed, Antarctic-type ice-sheet-shelf system that is perturbed by basal ice-shelf melting. Exploring a wide range of solid Earth structures we find that the threshold of bifurcation-induced tipping (B-tipping), i.e., the critical meltrate magnitude inferred for the ice sheet in quasi equilibrium, strongly depends on the timescale and the spatial extent of the solid-Earth response. Compared to the case of a fixed bed (no bed deformation), the B-tipping threshold increases for the strongest (East-Antarctic type) Earth structures by at least 80 % (from 0.8 to 1.5 m yr−1) whereas for the weakest (West-Antarctic type) Earth structures the increase is more than one order of magnitude larger. Due to the different timescales involved in the interplay between the dynamics of the ice sheet and the solid Earth, we find that for half of the ensemble members rate-induced tipping (R-tipping) occurs. That is, a sufficiently fast ramp-up of the basal meltrates triggers a MISI even before the critical forcing threshold of B-tipping would be crossed. In fact, due to R-tipping the effective critical tipping threshold reduces by up to 80 % for high upper-mantle viscosities and thin lithospheres. In none of our simulations bed uplift can stop a MISI once it is triggered, due to the very fast timescale of self-reinforcing grounding-line retreat. Furthermore, we highlight the occurrence of grounding-line overshoots and demonstrate cases of self-sustaining oscillations between advanced and collapsed ice-sheet states. Once triggered, these oscillations continue perpetually just due to the internal, non-linear interaction between ice-flow and solid-Earth dynamics. Our findings highlight that the character of the solid-Earth structure underlying a MISI-prone ice sheet can strongly affect its tipping dynamics mediated by the strength and timescale of the GIA feedback that counteracts MISI. In the context of Antarctic ice-sheet stability under global warming, our results particularly underscore that besides the magnitude also the rate of future anthropogenic greenhouse gas emissions are likely to play a crucial role."
P1_psych,READ,,noise;rate,2,True,openalex,W7149001971,10.5281/zenodo.19402291,2026,Zenodo (CERN European Organization for Nuclear Research),A Candidate Unifying Framework for Early-Warning Signals: The Standard Coherence Fidelity Layer (SCFL) Cross-Domain Atlas,"Early-warning signals (EWS) for critical transitions have been independently identified across a wide range of complex systems, including ecological collapse, climate tipping points, financial instability, physiological breakdown, and psychopathological shifts. Despite consistent empirical observations—such as rising variance, increasing autocorrelation, and critical slowing down—these signals are typically studied within domain-specific frameworks, resulting in fragmented terminology, inconsistent measurement practices, and limited cross-domain synthesis. This paper introduces the Standard Coherence Fidelity Layer (SCFL) as a candidate unifying framework for early-warning detection. SCFL reframes early-warning behavior as a manifestation of coherence deformation in complex dynamical systems, and formalizes this process through five structural operators: Δ (deformation/variance expansion), Φ (memory/coupling continuity), τ (recovery dynamics/critical slowing), f (fragmentation/multiscale loss), and seam (cascade propagation across networks). These operators are defined in a substrate-agnostic, geometry-based manner, allowing direct mapping to established statistical indicators while preserving cross-domain interpretability. To evaluate this framework, we construct a Cross-Domain Atlas of 20 high-impact empirical and theoretical studies spanning ecology, climate science, finance, physiology, psychopathology, and network science. Each study is systematically coded for the presence of SCFL operators using explicit mathematical mappings to canonical early-warning metrics. Inter-rater reliability assessment (Cohen’s κ = 0.88) demonstrates strong reproducibility of the operator classification scheme. Statistical analysis of operator prevalence reveals high marginal frequencies for Δ (90%), Φ (80%), and τ (65%) across domains. The co-occurrence of these operators (45%) is consistent with independent appearance at observed marginal rates (p = 0.65), indicating that early-warning structure is broadly distributed rather than concentrated in a single dominant indicator. This result suggests that widely studied signals such as variance and autocorrelation represent partial observables of a higher-dimensional structural process, rather than isolated mechanisms. Building on this finding, SCFL proposes that early-warning detection should be understood as a multi-dimensional measurement problem, where different operators capture complementary aspects of system instability. In this framework, domain-specific signals (e.g., volatility clustering in finance, entropy loss in physiology, or resilience decline in climate systems) are interpreted as projections of a shared underlying geometry of coherence deformation. The paper further identifies key limitations in existing early-warning approaches, including sensitivity to aggregation (“smearing”) effects, vulnerability to false positives under external forcing, and reduced performance in rate-induced or noise-induced tipping scenarios. The inclusion of multiscale fragmentation (f) and network cascade (seam) operators provides a pathway for addressing these gaps, particularly in high-dimensional and networked systems. Rather than claiming definitive superiority, we derive a set of testable hypotheses for multi-operator detection systems, including improvements in lead time, sensitivity at matched false-positive rates, robustness to coarse-graining, and cross-domain transferability. These hypotheses define a clear empirical agenda, including head-to-head benchmarking against single-metric approaches, prospective validation in real-time monitoring environments, and community-driven refinement of the operator framework. Taken together, the SCFL framework offers a structured and extensible approach to unifying early-warning science across disciplines. By providing a common measurement language for coherence deformation, it enables systematic comparison, integration, and extension of early-warning methodologies, while remaining grounded in existing statistical and dynamical systems theory. The results presented here position SCFL as a candidate foundational layer for cross-domain early-warning analysis, pending further empirical validation."
