phi,ar1_med,travel_sd,n,ratio_med,ratio_p90,ratio_p95
0.3,0.2968842546811893,0.0,60,0.12908245217637904,0.20523785487718893,0.21426160119585055
0.3,0.29478732319082235,0.0,60,0.1253618015975493,0.17866266807649747,0.22467053288961303
0.3,0.3539398631394083,1.0,60,0.36185449246227774,0.42896502350205856,0.45213549903413225
0.3,0.4731818776525134,2.0,60,0.6933851389073808,0.7795160499944824,0.8003298760974936
0.3,0.5981966887575302,3.0,60,0.9936646310877946,1.1210936620976686,1.1535355505584322
0.3,0.7746983029891625,5.0,60,1.6366104764145066,1.7322080280839136,1.7997001897281741
0.45,0.44917211666630386,0.0,60,0.12892327243376847,0.20086116989672656,0.2065865149786697
0.45,0.4464542220709568,0.0,60,0.12504722723022393,0.203033292104193,0.22865320180483953
0.45,0.48944273961870466,1.0,60,0.36778884837760895,0.4455407800527109,0.4652722310203276
0.45,0.5900534208176011,2.0,60,0.6653272264134205,0.7484720524216848,0.7799150762169886
0.45,0.6893356861296891,3.0,60,0.9610589869483794,1.080072996610127,1.1356828956584428
0.45,0.8210170487292063,5.0,60,1.5630337421729132,1.713755340753656,1.7902099447246438
