dataset,person,unit,bw_mult,bw_tag,within_day,n,n_pairs,n_attractors,separation_sd,n_barriers,barrier_ratio,barrier_dist_sd,local_sd_sd,run_length_obs,q1_primary,q1_sensitivity,kramers_log10_dwell_INVALID,attractors
kossakowski,1,mood_relaxed,1.4,primary,False,1476,1475,1,,0,,,0.6541955975210539,2.9343936381709743,no-second-attractor,no-second-attractor,,4.397
kossakowski,1,mood_relaxed,1.4,primary,True,1476,1238,1,,0,,,0.816168950050708,2.9343936381709743,no-second-attractor,no-second-attractor,,4.361
kossakowski,1,mood_relaxed,1.0,sensitivity,False,1476,1475,1,,0,,,0.4750329507728037,2.9343936381709743,no-second-attractor,no-second-attractor,,4.444
kossakowski,1,mood_relaxed,1.0,sensitivity,True,1476,1238,1,,0,,,0.5547598766820299,2.9343936381709743,no-second-attractor,no-second-attractor,,4.430
kossakowski,1,mood_down,1.4,primary,False,1474,1473,1,,0,,,0.6427905934937764,4.864686468646864,no-second-attractor,no-second-attractor,,0.469
kossakowski,1,mood_down,1.4,primary,True,1474,1236,1,,0,,,1.202304390119821,4.864686468646864,no-second-attractor,no-second-attractor,,0.331
kossakowski,1,mood_down,1.0,sensitivity,False,1474,1473,1,,0,,,0.45796353829533004,4.864686468646864,no-second-attractor,no-second-attractor,,0.483
kossakowski,1,mood_down,1.0,sensitivity,True,1474,1236,1,,0,,,0.7806285952343653,4.864686468646864,no-second-attractor,no-second-attractor,,0.406
kossakowski,1,mood_irritat,1.4,primary,False,1473,1472,1,,0,,,0.7104220519382075,2.7430167597765363,no-second-attractor,no-second-attractor,,2.488
kossakowski,1,mood_irritat,1.4,primary,True,1473,1235,1,,0,,,0.6891119238370865,2.7430167597765363,no-second-attractor,no-second-attractor,,2.572
kossakowski,1,mood_irritat,1.0,sensitivity,False,1473,1472,1,,0,,,0.5170960722068633,2.7430167597765363,no-second-attractor,no-second-attractor,,2.493
kossakowski,1,mood_irritat,1.0,sensitivity,True,1473,1235,1,,0,,,0.5040090276731566,2.7430167597765363,no-second-attractor,no-second-attractor,,2.537
kossakowski,1,mood_satisfi,1.4,primary,False,1473,1472,1,,0,,,0.5911824110789303,2.6830601092896176,no-second-attractor,no-second-attractor,,4.348
kossakowski,1,mood_satisfi,1.4,primary,True,1473,1235,1,,0,,,0.5798326423219018,2.6830601092896176,no-second-attractor,no-second-attractor,,4.359
kossakowski,1,mood_satisfi,1.0,sensitivity,False,1473,1472,1,,0,,,0.4296580666974943,2.6830601092896176,no-second-attractor,no-second-attractor,,4.421
kossakowski,1,mood_satisfi,1.0,sensitivity,True,1473,1235,1,,0,,,0.42253936846539764,2.6830601092896176,no-second-attractor,no-second-attractor,,4.426
kossakowski,1,mood_lonely,1.4,primary,False,1474,1473,1,,0,,,0.6789566047771622,7.757894736842105,no-second-attractor,no-second-attractor,,-0.450
kossakowski,1,mood_lonely,1.4,primary,True,1474,1236,1,,0,,,0.4933042180714275,7.757894736842105,no-second-attractor,no-second-attractor,,-0.480
kossakowski,1,mood_lonely,1.0,sensitivity,False,1474,1473,1,,0,,,0.35043937057669644,7.757894736842105,no-second-attractor,no-second-attractor,,-0.479
kossakowski,1,mood_lonely,1.0,sensitivity,True,1474,1236,1,,0,,,0.3380439511452726,7.757894736842105,no-second-attractor,no-second-attractor,,-0.482
