T,case,bw_mult,share_2plus,share_1,mean_count,share_with_barrier,barrier_ratio_med,log10_dwell_med,true_log10_dwell_med,local_sd_over_series_sd
300,bistable 2SD,0.7,0.5,0.5,1.6,0.5,0.015141307827651823,1.5917607542356176,0.7695510786217261,0.810235930250102
300,bistable 2SD,1.0,0.325,0.675,1.325,0.325,0.033053843734656946,1.5858582390851703,0.7783250029292312,1.0140620450207305
300,bistable 2SD,1.4,0.075,0.925,1.075,0.075,0.03559959087415319,1.7066429834765429,0.7825603692886988,1.1145321691963466
300,bistable 3SD,0.7,0.65,0.35,1.725,0.625,0.04401580802771154,1.4997007398731506,0.7914256759178252,0.749341157456538
300,bistable 3SD,1.0,0.35,0.65,1.35,0.35,0.023013324404307842,1.7686620508422095,0.8239087409443188,0.9564550241210825
300,bistable 3SD,1.4,0.35,0.65,1.35,0.35,0.03093189836525672,1.8780076465016386,0.843652799140076,1.1463714213855236
300,bistable 4SD,0.7,0.675,0.325,1.725,0.675,0.21454529640517314,1.442957334894383,0.8750612633917001,0.6742933660298784
300,bistable 4SD,1.0,0.625,0.375,1.625,0.625,0.10647987253864659,1.616840895383644,0.8697324298866331,0.8282129811209046
300,bistable 4SD,1.4,0.45,0.55,1.45,0.45,0.038252698757701244,1.882861159165725,0.9208187539523752,0.9492211534160353
300,bistable 6SD,0.7,0.975,0.025,2.025,0.975,0.771091353901735,1.6102713380559508,1.1346985738974562,0.44637929140721366
300,bistable 6SD,1.0,0.85,0.15,1.85,0.85,0.4414151817560582,1.5989638557668266,1.0299632233774432,0.5566042929616515
300,bistable 6SD,1.4,0.825,0.175,1.825,0.825,0.3659578177685218,1.6926753664586802,1.1062500392621997,0.6584888127680724
300,"deep well 6SD (k=1, new)",0.7,0.35,0.65,1.35,0.375,1.6214696955105459,1.629608413398587,0.35491156081955344,0.6358796392890438
300,"deep well 6SD (k=1, new)",1.0,0.425,0.575,1.425,0.425,1.0623779700676597,1.6307799464335422,0.37677806587321205,0.7079942490188424
300,"deep well 6SD (k=1, new)",1.4,0.35,0.65,1.35,0.35,0.5671816894835422,1.7829045926321272,0.3872161432802645,0.8262486264020377
300,monostable,0.7,0.6,0.4,1.65,0.6,0.04829895251326748,1.64357698723743,0.9031672017635761,0.6815137427528501
