case,compression,share_2plus,share_inaccessible
bistable 4SD,1.0,0.025,0.0
bistable 4SD,0.8,0.0,0.0
bistable 4SD,0.6,0.0,0.0
bistable 4SD,0.5,0.0,0.0
bistable 4SD,0.4,0.0,0.0
bistable 4SD,0.3,0.025,0.0
bistable 6SD,1.0,1.0,0.0
bistable 6SD,0.8,0.05,0.0
bistable 6SD,0.6,0.0,0.0
bistable 6SD,0.5,0.0,0.0
bistable 6SD,0.4,0.0,0.0
bistable 6SD,0.3,0.025,0.0
deep well 6SD,1.0,0.675,0.1
deep well 6SD,0.8,0.475,0.025
deep well 6SD,0.6,0.15,0.05
deep well 6SD,0.5,0.0,0.025
deep well 6SD,0.4,0.0,0.0
deep well 6SD,0.3,0.0,0.0
monostable,1.0,0.0,0.0
monostable,0.8,0.0,0.0
monostable,0.6,0.0,0.0
monostable,0.5,0.0,0.0
monostable,0.4,0.0,0.0
monostable,0.3,0.075,0.0
polarized,1.0,0.0,0.0
polarized,0.8,0.0,0.0
polarized,0.6,0.0,0.0
polarized,0.5,0.0,0.0
polarized,0.4,0.0,0.0
polarized,0.3,0.0,0.0
