beta,levels,travel_sd,n,ar1_med,bc_med,attractor_med,attractor_p95,mean_med,ratio_A_over_M,share_above_old_gate,nu
0.0,0,0.0,30,0.30148887283906123,0.3301613246569503,0.1306576957518181,0.18677840795262396,0.08521070891366897,1.533348301141276,0.03333333333333333,
0.0,0,3.0,30,0.6024584086828242,0.36264174126968085,0.9880035003813854,1.1362157748903314,1.0065935843285607,0.9815316884226163,1.0,
0.0,7,0.0,30,0.27611318075796615,0.33115306854880633,0.14375365488661604,0.2306556515484426,0.07847641564031048,1.8318070940637485,0.1,
0.0,7,3.0,30,0.5408549537867612,0.3598881870137737,1.0077556564934076,1.2605452510015032,1.063756201496994,0.9473558462693065,1.0,
0.3,0,0.0,30,0.266205788485836,0.5539970491523463,0.1536289621344856,0.2442697974567433,0.08538866283497096,1.7991728296694536,0.13333333333333333,
0.3,0,3.0,30,0.5301409284217802,0.6041872558889517,1.0337329114352294,1.2477168179354061,1.0129654280686413,1.020501670433298,1.0,
0.3,7,0.0,30,0.24025177011608062,0.508131652581346,0.16210542333220246,0.2639341779324752,0.08323844712575501,1.9474825507892617,0.13333333333333333,
0.3,7,3.0,30,0.5061781883068048,0.5669173038553301,1.026262398052513,1.2984264541477022,1.0941327478395717,0.9379688160133469,1.0,
0.6,0,0.0,30,0.2123556475210719,0.619988465457552,0.17213378431317689,0.29108620052607337,0.09741649074242355,1.7669881454497414,0.16666666666666666,
0.6,0,3.0,30,0.4348652231467527,0.6320114316060332,0.9580944350666988,1.308098621030335,0.8683389592361476,1.1033645615872245,1.0,
0.6,7,0.0,30,0.1923028409618398,0.5978513785875659,0.13878127864398804,0.2632295911999262,0.10893188184965999,1.274018921618595,0.16666666666666666,
0.6,7,3.0,30,0.39953348103954767,0.6132515355124383,0.97904695410794,1.3801929647445481,1.1956178768402923,0.8188627596429947,1.0,
1.0,0,0.0,30,0.1695684161778955,0.615072158628447,0.14317797832701637,0.25667955933509096,0.08219208778567544,1.741992230448849,0.1,
1.0,0,3.0,30,0.34429706236905633,0.6338409682094004,0.7083932508429285,0.9439564382891608,0.6030056009452518,1.1747705987016943,1.0,
1.0,7,0.0,30,0.14568977605652877,0.6162963953374732,0.10004577131655568,0.19901854346996845,0.11211734656775839,0.8923308870504956,0.0,
1.0,7,3.0,30,0.32882491347205933,0.6198085227504015,0.7994536270372523,1.2003265965022458,0.9114623881962316,0.8771109344614398,1.0,
,0,0.0,30,0.3026853807968807,0.13306868267435598,0.15722860952764045,0.4401719005612093,0.07995151286954001,1.9665495233867116,0.13333333333333333,3.0
,0,3.0,30,0.6063340397410402,0.17923505991860117,0.975348985090388,1.1904226800371869,0.939588787778784,1.0380594125608313,1.0,3.0
,7,0.0,30,0.2094175425451399,0.18066138457223357,0.04224040721647148,1.9377073018410096,0.12525167124635272,0.3372442602653216,0.23333333333333334,3.0
,7,3.0,30,0.500806401803565,0.2535905146908656,1.6240318300174548,2.424171160209222,1.3434761995527658,1.208828135964064,0.8333333333333334,3.0
,0,0.0,30,0.30146368348205144,0.14698210542273055,0.13813249856514653,0.20756871024622475,0.08764707069242833,1.5760081594726878,0.03333333333333333,4.0
,0,3.0,30,0.6005831789083638,0.24172860428069745,0.9486867928949078,1.0815531240655933,0.9499442735533656,0.9986762584990864,1.0,4.0
,7,0.0,30,0.23199751318856254,0.22768370629234894,0.03948532338847849,0.5418535238281067,0.10603121204846783,0.3723933983743333,0.1,4.0
,7,3.0,30,0.5048715924842812,0.28173940862926117,1.4805362599547909,1.841157686318072,1.2669124246910841,1.1686176811438214,1.0,4.0
,0,0.0,30,0.30011214125859575,0.20778993859085065,0.14403558994723215,0.19802322240335035,0.09229656954843884,1.560573601510073,0.0,6.0
,0,3.0,30,0.5989980085110408,0.28279955775820487,0.9811454161006392,1.0817286077901942,0.9684561659343126,1.0131025549866624,1.0,6.0
,7,0.0,30,0.2431382799397912,0.25211627496532807,0.06462932279460412,0.3951766006298561,0.09981399729850884,0.647497590957312,0.2,6.0
,7,3.0,30,0.5166835099797922,0.3075956505268328,1.2668691830353365,1.6243193229534536,1.200822019513301,1.0550016259268835,1.0,6.0
,0,0.0,30,0.2876131831746528,0.27945628829572455,0.12508440086975764,0.19329532585730963,0.0794803838077621,1.5737770110961873,0.03333333333333333,12.0
,0,3.0,30,0.597519731807596,0.34070404096159534,0.9771844294080696,1.107446959633953,0.9772158420270234,0.9999678549839218,1.0,12.0
,7,0.0,30,0.26057511765885455,0.3031840243940169,0.09837674501585536,0.24603137492578658,0.08779257318537603,1.1205588519216836,0.1,12.0
,7,3.0,30,0.532520561880953,0.336271474926405,1.16093850951587,1.5895726790137308,1.1435132775300672,1.0152383293908405,1.0,12.0
